Time,Distance(mm.)
1784522661432.1301,330
1784522661532.4148,332
1784522661631.7,331
1784522661731.497,330
1784522661831.666,330
1784522661931.816,330
1784522662031.9202,327
1784522662131.5278,330
1784522662231.5662,328
1784522662351.81,329
1784522662451.967,329
1784522662551.677,330
1784522662652.168,331
1784522662752.3142,331
1784522662852.051,328
1784522662952.542,333
1784522663052.383,328
1784522663151.773,328
1784522663252.029,327
1784522663351.76,331
1784522663452.188,328
1784522663552.277,331
1784522663652.971,327
1784522663752.369,328
1784522663855.8237,331
1784522663952.115,332
1784522664052.0278,330
1784522664155.5562,329
1784522664272.98,330
1784522664355.68,327
1784522664473.491,329
1784522664573.018,331
1784522664672.8872,329
1784522664773.102,331
1784522664872.724,327
1784522664993.5,330
1784522665093.229,329
1784522665193.5588,328
1784522665293.3481,328
1784522665393.564,327
1784522665493.665,329
1784522665593.3389,324
1784522665693.656,331
1784522665793.45,330
1784522665894.1592,327
1784522665995.6338,330
1784522666096.673,330
1784522666214.1929,328
1784522666314.2312,329
1784522666414.1729,330
1784522666514.125,329
1784522666614.1829,332
1784522666715.4482,330
1784522666834.404,332
1784522666933.9548,329
1784522667034.2751,327
1784522667134.108,328
1784522667234.195,327
1784522667334.275,330
1784522667434.228,331
1784522667554.9263,330
1784522667655.0532,332
1784522667755.2158,329
1784522667856.592,331
1784522667954.88,328
1784522668054.829,327
1784522668154.598,327
1784522668254.9849,332
1784522668353.7861,330
1784522668473.8403,330
1784522668574.1482,328
1784522668674.3171,331
1784522668774.4683,329
1784522668874.1902,329
1784522668994.2788,331
1784522669076.076,331
1784522669194.1782,327
1784522669294.094,327
1784522669401.597,327
1784522669494.413,328
1784522669594.473,327
1784522669694.0579,332
1784522669794.0679,327
1784522669894.377,328
1784522669996.8938,330
1784522670094.8843,330
1784522670196.054,327
1784522670295.843,328
1784522670395.868,331
1784522670514.111,329
1784522670614.1062,329
1784522670714.1462,330
1784522670814.496,328
1784522670913.6482,331
1784522671013.741,332
1784522671115.392,328
1784522671214.842,328
1784522671314.82,331
1784522671417.6572,327
1784522671516.186,331
1784522671635.487,330
1784522671736.196,332
1784522671835.697,328
1784522671937.8,330
1784522672034.2632,328
1784522672133.9363,327
1784522672234.471,329
1784522672341.49,333
1784522672434.238,328
1784522672534.368,328
1784522672634.465,328
1784522672734.4902,331
1784522672833.542,331
1784522672934.4268,328
1784522673034.413,327
1784522673134.471,331
1784522673234.7368,331
1784522673335.419,330
1784522673434.782,330
1784522673537.6511,329
1784522673655.641,329
