Time,acc_x,acc_y,acc_z
1784522004164.979,-0.00954,0.01514,-1.00417
1784522004264.374,-0.00842,0.01337,-1.00384
1784522004364.22,-0.0088,0.01344,-1.00463
1784522004463.775,-0.00759,0.01421,-1.00358
1784522004564.01,-0.0092,0.01469,-1.00375
1784522004664.772,-0.00743,0.01476,-1.00383
1784522004765.064,-0.00858,0.01469,-1.00451
1784522004864.844,-0.00901,0.01457,-1.00575
1784522004963.682,-0.00795,0.0144,-1.0054
1784522005064.847,-0.00794,0.01339,-1.0058
1784522005164.345,-0.00835,0.01243,-1.00623
1784522005265.783,0.15708,0.01813,-1.00657
1784522005384.9119,0.29604,-0.00536,-0.99899
1784522005484.252,0.26564,0.00064,-1.0011
1784522005603.662,0.17072,0.04263,-0.97606
1784522005704.132,-0.0019,0.02547,-0.96423
1784522005803.978,-0.15417,0.00504,-1.03328
1784522005904.074,-0.07396,0.00033,-1.05239
1784522006024.295,0.05193,0.03303,-1.01189
1784522006125.1,-0.05813,-0.00159,-1.00459
1784522006224.864,-0.08361,0.0155,-0.99677
1784522006324.6729,-0.01296,0.0154,-1.00386
1784522006424.906,0.02662,0.02548,-0.9697
1784522006524.09,-0.01708,0.00552,-0.97709
1784522006624.893,-0.02801,0.02201,-0.99785
1784522006725.037,-0.02644,0.01237,-1.04178
1784522006824.5671,-0.01678,0.0041,-1.02748
1784522006925.012,-0.02293,-0.00611,-0.99917
1784522007025.749,-0.01226,0.01802,-1.00442
1784522007126.6199,-0.0256,0.00391,-1.04791
1784522007225.26,-0.03236,0.00326,-1.08081
1784522007324.796,-0.0384,0.00351,-1.02499
1784522007424.9192,0.00096,0.00967,-0.98382
1784522007544.6812,-0.00714,0.00903,-0.96431
1784522007644.449,-0.03133,-0.00026,-1.00574
1784522007744.52,-0.04071,0.0047,-0.99192
1784522007844.5188,0.01147,0.02026,-1.00001
1784522007945.848,0.0125,0.03042,-0.97565
1784522008043.9097,-0.02275,0.02078,-1.00076
1784522008144.2493,-0.04459,-0.00933,-0.98984
1784522008243.819,-0.15778,-0.00142,-1.03349
1784522008344.6199,-0.32316,0.04568,-1.00056
1784522008445.432,-0.30681,-0.00967,-0.97961
1784522008547.5562,-0.01232,0.00824,-1.02719
1784522008643.9932,-0.00677,0.03154,-1.00283
1784522008744.279,-0.01127,0.03677,-1.00313
1784522008844.336,-0.00754,0.03657,-1.00337
1784522008944.3918,-0.01042,0.02623,-1.00339
1784522009064.4639,-0.01538,0.00923,-1.00276
