Time,gyro_x,gyro_y,gyro_z
1784522603327.5579,-0.00167,0.0067,0.00259
1784522603426.2058,-0.00288,0.00927,0.00211
1784522603526.4312,-0.00348,0.00873,-0.00101
1784522603646.652,-0.00339,0.00737,0.00171
1784522603746.718,-0.00297,0.00663,-0.0006
1784522603846.4302,-0.00068,0.00588,0.00022
1784522603946.2568,-0.002,0.00865,0.00065
1784522604046.266,-0.00803,0.00532,0.00249
1784522604146.0962,-0.00604,0.00664,-0.00044
1784522604246.0642,-0.00402,0.00544,0.00283
1784522604346.632,-0.00246,0.00694,0.00151
1784522604446.666,-0.00581,0.01037,-0.01184
1784522604546.7488,0.01729,-0.0349,-0.00759
1784522604646.4219,-0.04756,0.02485,0.02938
1784522604746.7031,0.01525,0.02309,-0.01711
1784522604868.3462,-0.00913,0.03191,-0.01751
1784522604966.5688,0.00163,0.05543,0.00946
1784522605068.0298,0.00468,-0.01969,0.00234
1784522605168.215,-0.00842,0.01207,0.05033
1784522605267.383,-0.0237,0.00776,-0.03082
1784522605368.2402,-0.018,0.00587,0.01712
1784522605467.4229,0.00107,0.01636,-0.01687
1784522605567.6282,0.04553,0.02972,0.00151
1784522605666.762,-0.01814,0.00952,0.02978
1784522605767.236,0.0018,0.03825,-0.05686
1784522605867.093,0.03015,0.02327,-0.00402
1784522605967.4329,-0.00351,0.02439,-0.02495
1784522606066.7961,-0.01148,-0.02602,0.0548
1784522606167.017,-0.05858,0.00707,-0.00816
1784522606266.937,-0.00693,0.00826,0.01147
