time_s,adc_front,adc_rear,err_dist,err_skew,tof_cm,vx,vy,vz
0.055,216,254,120.0,32,401.8,0.2,-0.0440216064453125,7.199999999999999
0.110,216,249,120.0,37,400.8,0.2,-0.08803768157958985,9.245255339709061
0.165,217,249,120.0,38,412.7,0.2,-0.13205356597900392,9.545255812262115
0.220,217,249,120.0,38,481.0,0.2,-0.13205356597900392,9.545255812262115
0.270,217,245,120.0,42,502.4,0.2,-0.21616554260253906,10.864471785724646
0.322,217,243,120.0,44,481.8,0.2,-0.228,11.564971421651856
0.377,217,237,120.0,50,462.5,0.2,-0.228,13.866048299181362
0.430,198,237,120.0,31,502.6,0.2,-0.228,5.78084538109848
0.481,191,237,118.0,24,489.0,0.2,-0.2224337923823749,3.08241730562561
0.533,180,233,110.5,17,489.0,0.2,-0.20195307609346466,0.5147797507595535
0.587,162,172,71.0,60,509.9,0.2,-0.158572910993367,10.275316898281526
0.642,159,172,69.5,57,511.7,0.2,-0.158572910993367,10.275316898281526
0.693,146,153,53.5,63,510.3,0.2,-0.07396731254365997,19.078008435652556
0.748,135,153,48.0,52,502.2,0.2,-0.05245206359030961,14.063426901586583
0.799,135,161,52.0,44,494.9,0.2,-0.06989774029740504,10.549914693722055
0.854,135,161,52.0,44,516.3,0.2,-0.07431819223792405,10.599931754977645
0.909,137,161,53.0,46,522.3,0.2,-0.080584121673589,11.458815768957047
0.959,138,149,47.5,59,522.3,0.2,-0.0678996162528521,16.895594091117868
1.013,148,149,52.5,69,523.3,0.2,-0.08465904833564769,20.698281872904104
1.066,148,172,64.0,46,521.0,0.2,-0.11793473914810558,11.078764546549124
1.117,150,172,65.0,48,470.2,0.2,-0.11793473914810558,11.078764546549124
1.169,150,174,66.0,46,378.6,0.2,-0.1223233366015731,10.869100283557644
1.224,150,174,66.0,46,330.8,0.2,-0.12185866928125848,10.975280226846115
1.279,150,174,66.0,46,330.8,0.2,-0.12148693542500678,11.060224181476892
1.334,154,166,64.0,58,389.5,0.2,-0.11573534505580367,16.036962300963104
1.389,149,158,57.5,61,375.5,0.2,-0.09806219729970805,17.056759907727514
1.444,144,149,50.5,65,371.5,0.2,-0.07996275804768105,18.461436479789327
1.500,142,143,46.5,69,383.4,0.2,-0.07086348791080321,19.82515696293271
1.551,137,136,40.5,71,343.9,0.2,-0.05618942442714104,20.355193865421242
1.606,137,126,35.5,81,305.0,0.2,-0.04511762197038699,24.154330363734747
1.657,129,126,31.5,73,280.3,0.2,-0.04511762197038699,24.154330363734747
1.708,129,126,31.5,73,259.0,0.2,-0.0383284051813966,20.833756572513902
1.759,129,174,55.5,25,233.9,0.2,-0.07943234042309583,11.585371143131578
1.814,132,315,120.0,-113,221.2,0.2,-0.12346901492260755,1.6771193807414413
1.871,132,316,120.0,-114,215.8,0.2,-0.16863312319897472,-8.484804981441176
1.926,133,316,120.0,-113,211.3,0.2,-0.212792249480713,-18.42060839483229
1.981,132,285,112.5,-83,208.2,0.2,-0.23504714750938427,-27.877816522040323
2.033,128,247,91.5,-49,210.7,0.2,-0.19346313261680614,-18.521413171210245
2.088,128,194,65.0,4,216.4,0.2,-0.1494510629146577,-8.618697488226847
2.143,184,194,93.0,60,225.3,0.2,-0.1494510629146577,-8.618697488226847
2.198,184,189,90.5,65,237.0,0.2,-0.16380945324812424,11.170683538994833
2.251,174,160,71.0,84,248.8,0.2,-0.12134138226423752,20.725999510369345
2.306,136,160,52.0,46,259.6,0.2,-0.07730547070417892,13.101524019319106
2.361,136,160,52.0,46,246.4,0.2,-0.06889313899690609,12.761219215455284
2.412,115,163,43.0,22,234.2,0.2,-0.04846522786753733,3.568795394959679
2.466,115,163,43.0,22,232.6,0.2,-0.053572182294029866,2.8154096322953706
2.521,115,156,39.5,29,228.2,0.2,-0.04811460945839787,5.955268618884105
2.576,119,155,41.0,34,217.5,0.2,-0.05599670218852719,8.076722206011729
2.631,119,154,40.5,35,216.0,0.2,-0.05743411476250474,8.430351861304485
2.684,125,155,44.0,40,214.7,0.2,-0.06937044154152523,10.42638500294104
2.735,127,155,45.0,42,209.6,0.2,-0.06937044154152523,10.42638500294104
2.790,143,162,56.5,51,206.4,0.2,-0.10040710653971818,14.182927438810566
2.845,148,162,59.0,56,199.0,0.2,-0.10734271485925415,15.971450839292332
2.896,148,166,61.0,52,199.0,0.2,-0.11264557252056369,13.985740481485756
2.951,156,172,68.0,54,190.2,0.2,-0.1311845127532749,14.645794731052487
3.006,162,190,80.0,42,190.5,0.2,-0.16247109081461278,9.568113693043058
3.058,177,250,117.5,-3,187.2,0.2,-0.20410565044596043,0.20033777598983527
3.110,201,310,120.0,-39,184.3,0.2,-0.24498490001871434,-8.997493377879794
3.164,221,310,120.0,-19,182.1,0.2,-0.25,-6.838027983415152
3.219,247,310,120.0,7,181.7,0.2,-0.25,-6.838027983415152
3.274,271,246,120.0,95,180.4,0.2,-0.24993679923532378,12.975686043989633
3.324,296,246,120.0,120,182.5,0.2,-0.24554943938825902,22.05721661497352
3.376,296,278,120.0,88,178.6,0.2,-0.24203955151060721,24.2767023738446
3.430,298,295,120.0,73,180.5,0.2,-0.23923164120848578,18.05206837659363
3.485,302,299,120.0,73,178.4,0.2,-0.23698531296678862,18.341654701274905
