time_s,adc_front,adc_rear,front_cm,rear_cm,mean_cm,angle_deg
0.001,215,284,17.067930056096877,12.742568600639562,14.90524932836822,17.765310322267023
0.107,245,284,14.880476858356566,12.742568600639562,13.811522729498064,8.998833737249084
0.211,245,285,14.880476858356566,12.695626417949255,13.788051638152911,9.19308323194067
0.313,239,285,15.272967984459191,12.695626417949255,13.984297201204223,10.808512829046446
0.418,234,284,15.615812548217352,12.742568600639562,14.179190574428457,12.015146928264729
0.524,233,284,15.686191776036141,12.742568600639562,14.214380188337852,12.300596219334222
0.625,248,284,14.691528180832794,12.742568600639562,13.717048390736178,8.214883769606638
0.730,262,287,13.868352808128094,12.60274781010383,13.235550309115961,5.355740891434001
0.836,247,279,14.753988358722298,12.982454941030113,13.868221649876205,7.475905132440651
0.941,235,279,15.546047201405642,12.982454941030113,14.264251071217878,10.752200514932444
1.043,245,284,14.880476858356566,12.742568600639562,13.811522729498064,8.998833737249084
1.145,247,279,14.753988358722298,12.982454941030113,13.868221649876205,7.475905132440651
1.250,233,272,15.686191776036141,13.333491492129468,14.509841634082804,9.885885135914158
1.356,234,290,15.615812548217352,12.465891413881234,14.040851981049293,13.13370487221787
1.459,245,278,14.880476858356566,13.031493797704442,13.955985328030504,7.7988047493475685
1.559,239,278,15.272967984459191,13.031493797704442,14.152230891081818,9.427111895439381
1.665,239,289,15.272967984459191,12.511186628512755,13.892077306485973,11.561832445306104
1.769,240,284,15.206155719066633,12.742568600639562,13.974362159853097,10.341988130353997
1.874,245,278,14.880476858356566,13.031493797704442,13.955985328030504,7.7988047493475685
1.979,248,282,14.691528180832794,12.837476856014685,13.76450251842374,7.819917991002871
2.085,238,282,15.340355793978029,12.837476856014685,14.088916324996358,10.503290027586907
2.189,238,284,15.340355793978029,12.742568600639562,14.041462197308796,10.892211822113593
2.291,250,279,14.568144088653298,12.982454941030113,13.775299514841706,6.699177917917577
2.392,230,279,15.901094169123276,12.982454941030113,14.441774555076694,12.199334693052398
2.495,233,290,15.686191776036141,12.465891413881234,14.076041594958689,13.416652813818944
2.600,245,272,14.880476858356566,13.333491492129468,14.106984175243017,6.537095986984391
