Time,X,Y
1784806971947.642,0.0,0.0
1784806972008.018,-0.0,2e-05
1784806972047.413,-0.0,2e-05
1784806972108.33,-1e-05,1e-05
1784806972148.0552,-1e-05,-2e-05
1784806972208.037,-1e-05,-2e-05
1784806972256.75,-2e-05,1e-05
1784806972307.992,-3e-05,2e-05
1784806972367.7927,-2e-05,3e-05
1784806972407.639,-0.0,-1e-05
1784806972467.8608,-2e-05,-0.0
1784806972507.9849,-2e-05,0.0
1784806972567.8179,-1e-05,-2e-05
1784806972607.876,-2e-05,-5e-05
1784806972667.815,-3e-05,-4e-05
1784806972706.655,-1e-05,-3e-05
1784806972766.419,0.0,-5e-05
1784806972806.695,-1e-05,-5e-05
1784806972866.562,0.0,-6e-05
1784806972906.381,-1e-05,-8e-05
1784806972966.36,-3e-05,-0.0001
1784806973007.0242,-3e-05,-7e-05
1784806973067.425,-1e-05,-5e-05
1784806973107.5579,-2e-05,-3e-05
1784806973167.44,-3e-05,-0.0
1784806973207.3027,-3e-05,1e-05
1784806973267.4072,-2e-05,1e-05
1784806973307.3372,-1e-05,-2e-05
1784806973367.383,-0.0,-1e-05
1784806973407.337,-1e-05,-1e-05
1784806973467.322,-2e-05,-3e-05
1784806973507.7917,-3e-05,-3e-05
1784806973567.6711,0.00722,0.00149
1784806973627.763,0.02376,0.00134
1784806973667.827,0.04531,0.00336
1784806973727.982,0.06843,0.00384
1784806973768.5872,0.09332,0.00383
1784806973827.841,0.12144,0.00359
1784806973888.0142,0.15122,0.00366
1784806973927.808,0.17897,0.00451
1784806973988.42,0.20384,0.00515
1784806974027.771,0.22931,0.00598
1784806974087.8442,0.25868,0.00669
1784806974127.6858,0.29045,0.00775
1784806974187.333,0.32084,0.00842
1784806974228.2031,0.34881,0.00861
1784806974288.21,0.37636,0.0093
1784806974327.33,0.40699,0.00999
1784806974388.287,0.44084,0.0109
1784806974447.051,0.47451,0.01202
1784806974488.021,0.50561,0.01268
1784806974547.2131,0.53544,0.01334
1784806974587.74,0.56734,0.01439
1784806974647.5708,0.60175,0.01535
1784806974687.946,0.63665,0.01621
1784806974747.8599,0.6699,0.01687
1784806974787.148,0.70041,0.01751
1784806974847.708,0.72668,0.01807
1784806974888.5278,0.74912,0.01884
1784806974947.387,0.76999,0.01952
1784806974987.299,0.79112,0.02002
1784806975047.2542,0.81107,0.02043
1784806975088.221,0.8279,0.02096
1784806975148.494,0.84097,0.02122
1784806975207.134,0.85224,0.02138
1784806975247.712,0.86402,0.02171
1784806975308.4778,0.87448,0.02231
1784806975350.8967,0.8827,0.02217
1784806975407.594,0.88925,0.02237
1784806975447.031,0.89607,0.02272
1784806975507.8298,0.90283,0.02318
1784806975552.97,0.90871,0.02331
1784806975607.053,0.91426,0.02364
1784806975666.2522,0.91932,0.02394
1784806975706.742,0.92429,0.02411
1784806975767.364,0.92883,0.02431
1784806975807.3079,0.93278,0.02419
1784806975867.1338,0.9347,0.02546
1784806975907.0588,0.9313,0.03408
1784806975967.026,0.9291,0.053
1784806976027.0222,0.93154,0.09828
1784806976067.447,0.93331,0.1286
1784806976126.959,0.93199,0.16247
1784806976167.959,0.9288,0.19285
1784806976227.9307,0.92701,0.21988
1784806976267.854,0.92645,0.24443
1784806976327.2651,0.92603,0.26918
1784806976367.414,0.92455,0.29611
1784806976426.577,0.92235,0.32448
1784806976466.5361,0.92097,0.35259
1784806976527.1292,0.92067,0.38013
1784806976567.095,0.92049,0.40806
1784806976627.862,0.9194,0.43686
1784806976667.34,0.918,0.46696
1784806976726.583,0.91684,0.49792
1784806976767.77,0.91655,0.52856
1784806976827.828,0.91648,0.55872
1784806976888.089,0.91581,0.58955
1784806976927.9092,0.91509,0.62117
1784806976987.0488,0.91479,0.65393
1784806977027.831,0.91452,0.68643
1784806977087.177,0.91428,0.71804
1784806977126.865,0.91354,0.74528
1784806977187.3003,0.91303,0.76728
1784806977227.0369,0.91298,0.78695
1784806977287.2363,0.91283,0.80684
1784806977326.934,0.91269,0.82774
1784806977388.347,0.91237,0.84603
1784806977448.26,0.91187,0.8593
1784806977488.1511,0.91182,0.8707
1784806977547.945,0.91167,0.88297
1784806977587.5242,0.91196,0.89589
1784806977647.716,0.91191,0.90608
1784806977686.573,0.91223,0.91228
1784806977746.5889,0.91265,0.91661
1784806977786.135,0.91288,0.91944
1784806977847.585,0.91315,0.92038
1784806977907.125,0.91322,0.9198
1784806977946.874,0.91302,0.9194
1784806978006.814,0.91268,0.91937
1784806978047.1301,0.91229,0.91963
1784806978107.028,0.91196,0.91968
1784806978146.859,0.91158,0.91985
1784806978208.5938,0.90833,0.92052
1784806978269.584,0.89575,0.92297
1784806978307.0112,0.87654,0.92499
1784806978368.307,0.83197,0.9256
1784806978426.7222,0.80598,0.92542
1784806978468.6,0.77736,0.92561
1784806978526.478,0.75031,0.92563
1784806978570.755,0.72599,0.92566
1784806978626.837,0.70196,0.92525
1784806978669.7659,0.67494,0.92528
1784806978727.16,0.64472,0.92491
1784806978767.1008,0.6145,0.92508
1784806978827.601,0.58676,0.92504
1784806978869.1357,0.56011,0.92512
1784806978926.956,0.53161,0.92517
1784806978967.275,0.4998,0.92465
1784806979027.2131,0.4672,0.92432
1784806979067.6392,0.43725,0.92387
1784806979127.274,0.40853,0.92368
1784806979167.4868,0.3787,0.92346
1784806979227.858,0.34613,0.92315
1784806979267.988,0.31283,0.92276
1784806979327.898,0.28103,0.92249
1784806979367.627,0.25074,0.92222
1784806979427.237,0.22053,0.92175
1784806979467.322,0.1918,0.92111
1784806979526.8809,0.16834,0.92037
1784806979588.265,0.15016,0.91926
1784806979627.901,0.13304,0.91858
1784806979667.273,0.11422,0.91823
1784806979726.95,0.09514,0.91763
1784806979766.878,0.08023,0.91699
1784806979826.987,0.0706,0.91683
1784806979887.4722,0.06152,0.91643
1784806979927.6428,0.05054,0.91626
1784806979986.5571,0.0392,0.91588
1784806980026.874,0.03135,0.91579
1784806980087.7659,0.02668,0.91594
1784806980126.7131,0.02233,0.91613
1784806980187.83,0.01796,0.91632
1784806980226.6738,0.01384,0.91619
1784806980287.581,0.01035,0.91618
1784806980327.4583,0.00743,0.91626
1784806980387.844,0.00465,0.91631
1784806980448.3682,0.00221,0.9163
1784806980488.368,0.00011,0.91622
1784806980548.627,-8e-05,0.91516
1784806980587.869,0.00414,0.90775
1784806980648.4858,0.00749,0.88936
1784806980688.8398,0.00965,0.86675
1784806980748.846,0.01231,0.84182
1784806980787.7021,0.01528,0.81231
1784806980847.7239,0.01676,0.77989
1784806980887.8562,0.01779,0.75003
1784806980948.6348,0.01743,0.723
1784806981007.857,0.01684,0.69762
1784806981047.9739,0.01637,0.67251
1784806981107.716,0.01603,0.64637
1784806981155.96,0.01597,0.61867
1784806981207.827,0.0158,0.59068
1784806981247.134,0.01588,0.56307
1784806981307.552,0.01592,0.535
1784806981368.173,0.01619,0.50587
1784806981408.4028,0.01616,0.47608
1784806981468.545,0.01635,0.4462
1784806981507.766,0.01654,0.41611
1784806981568.182,0.01634,0.38539
1784806981608.031,0.01579,0.35409
1784806981648.9138,0.01546,0.3227
1784806981708.318,0.01564,0.29101
1784806981749.037,0.01546,0.25894
1784806981808.0781,0.01495,0.22709
1784806981847.544,0.0143,0.1987
1784806981908.366,0.0139,0.17642
1784806981948.709,0.01343,0.15742
1784806982008.467,0.01354,0.13817
1784806982047.741,0.01325,0.11711
1784806982108.2712,0.01271,0.09826
1784806982148.161,0.01193,0.0846
1784806982207.8972,0.01158,0.07343
1784806982267.7708,0.0115,0.06199
1784806982308.7412,0.01148,0.05
1784806982348.747,0.01138,0.03973
1784806982408.2383,0.01086,0.03278
1784806982448.305,0.0103,0.02752
1784806982508.1228,0.00987,0.02366
1784806982568.612,0.00938,0.02152
1784806982608.1172,0.00891,0.02113
1784806982668.876,0.00834,0.02185
1784806982730.7588,0.00836,0.02201
1784806982768.0168,0.0084,0.02219
1784806982829.794,0.00844,0.02229
1784806982868.261,0.00851,0.0224
1784806982929.292,0.00862,0.02253
1784806982967.802,0.00865,0.02263
1784806983028.7722,0.00877,0.0228
1784806983067.7869,0.00888,0.02284
1784806983128.4822,0.0091,0.0228
1784806983167.792,0.0092,0.02279
1784806983230.05,0.00925,0.0228
1784806983289.154,0.01045,0.02287
1784806983328.964,0.01929,0.0227
1784806983389.3098,0.03691,0.02256
1784806983428.71,0.05886,0.02406
1784806983488.642,0.08198,0.02498
1784806983547.803,0.10753,0.02449
1784806983588.3037,0.13669,0.02357
1784806983628.0088,0.16658,0.02368
1784806983689.183,0.19341,0.02395
1784806983748.252,0.21802,0.02438
1784806983788.197,0.24396,0.02424
1784806983848.0798,0.27416,0.02423
1784806983887.964,0.30629,0.02422
1784806983949.1729,0.33662,0.02423
1784806983987.552,0.36438,0.02424
1784806984048.8188,0.39238,0.02428
1784806984088.257,0.42412,0.02412
1784806984148.287,0.45836,0.02391
1784806984187.39,0.49135,0.02404
1784806984247.4438,0.52189,0.02382
1784806984287.064,0.55179,0.02372
1784806984347.705,0.58423,0.02349
1784806984388.683,0.61938,0.02364
1784806984449.098,0.65428,0.02354
1784806984488.2542,0.68701,0.02393
1784806984548.023,0.71676,0.02394
1784806984587.9988,0.74267,0.0242
1784806984648.8608,0.76472,0.02434
1784806984688.284,0.78548,0.02472
1784806984748.3062,0.80618,0.02494
1784806984787.8599,0.82615,0.025
1784806984868.159,0.84262,0.02512
1784806984928.959,0.86672,0.02549
1784806984968.6401,0.87842,0.02569
1784806985029.2961,0.88899,0.02585
1784806985067.953,0.89734,0.02547
1784806985129.107,0.90507,0.02549
1784806985167.777,0.91249,0.02561
1784806985228.75,0.91945,0.02563
1784806985268.153,0.92615,0.02579
1784806985328.783,0.93248,0.02575
1784806985368.5708,0.93829,0.02548
1784806985428.714,0.94376,0.02529
1784806985467.689,0.94893,0.02543
1784806985534.0522,0.95279,0.02578
1784806985587.715,0.95087,0.03123
1784806985627.5962,0.94706,0.0471
1784806985689.047,0.94792,0.06892
1784806985727.756,0.94973,0.0899
1784806985788.904,0.95223,0.1172
1784806985828.219,0.95212,0.1499
1784806985889.008,0.95071,0.18133
1784806985928.6,0.94949,0.20937
1784806985987.914,0.94879,0.23444
1784806986027.7441,0.94866,0.25901
1784806986088.0981,0.94844,0.28518
1784806986127.46,0.94756,0.31297
1784806986188.925,0.94687,0.34121
1784806986228.152,0.9466,0.3687
1784806986288.623,0.9467,0.39635
1784806986327.917,0.94717,0.42507
1784806986388.1973,0.94701,0.4549
1784806986428.3098,0.94633,0.48552
1784806986489.0088,0.94636,0.51601
1784806986527.864,0.94685,0.54658
1784806986588.043,0.94708,0.57758
1784806986628.354,0.94661,0.60921
1784806986688.4182,0.94605,0.64152
1784806986727.9758,0.94596,0.67395
1784806986788.28,0.94625,0.70628
1784806986827.2542,0.94639,0.73614
1784806986891.004,0.94605,0.76027
1784806986928.097,0.94575,0.78022
1784806986989.7117,0.94586,0.79964
1784806987028.3352,0.94625,0.82079
1784806987088.492,0.94647,0.8412
1784806987147.848,0.94624,0.85718
1784806987189.019,0.94626,0.86893
1784806987247.844,0.9458,0.87981
1784806987288.11,0.94627,0.89238
1784806987349.006,0.94614,0.90338
1784806987388.684,0.94638,0.91045
1784806987448.644,0.94677,0.91576
1784806987490.123,0.94709,0.91935
1784806987549.474,0.94757,0.92094
1784806987589.746,0.94762,0.92017
1784806987649.135,0.9474,0.91971
1784806987689.421,0.94693,0.91963
1784806987748.926,0.94646,0.91959
1784806987808.635,0.94591,0.91966
1784806987849.333,0.94522,0.9196
1784806987909.418,0.94393,0.91976
1784806987948.7761,0.93647,0.92132
1784806988008.7659,0.91948,0.92429
1784806988048.9158,0.89941,0.92578
1784806988109.845,0.87705,0.9266
1784806988148.8088,0.85223,0.92664
1784806988210.325,0.82456,0.92712
1784806988249.444,0.79643,0.92732
1784806988309.55,0.77139,0.92732
1784806988348.812,0.74822,0.92743
1784806988409.427,0.72252,0.92772
1784806988448.7341,0.69324,0.92818
1784806988509.768,0.66301,0.92817
1784806988549.244,0.63501,0.92799
1784806988610.852,0.60872,0.92788
1784806988669.301,0.58142,0.92764
1784806988709.206,0.55089,0.92799
1784806988769.351,0.51895,0.92809
1784806988809.3618,0.48805,0.92797
1784806988870.136,0.45926,0.92797
1784806988909.36,0.43,0.9281
1784806988969.929,0.39817,0.92813
1784806989008.765,0.36491,0.92801
1784806989069.251,0.30303,0.9278
1784806989128.887,0.2734,0.92709
1784806989169.2412,0.24283,0.92653
1784806989209.077,0.21571,0.92582
1784806989268.836,0.19541,0.92454
1784806989329.1787,0.17924,0.92431
1784806989390.06,0.16199,0.9242
1784806989432.958,0.14186,0.9237
1784806989489.3818,0.12326,0.92289
1784806989530.133,0.11103,0.92227
1784806989590.522,0.1034,0.92185
1784806989629.812,0.09471,0.92132
1784806989690.613,0.08219,0.92131
1784806989750.7178,0.06978,0.92126
1784806989789.999,0.06281,0.92118
1784806989851.768,0.05963,0.92124
1784806989889.982,0.05686,0.92119
1784806989950.1719,0.05414,0.92126
1784806989989.877,0.05142,0.92126
1784806990051.6108,0.04854,0.92128
1784806990089.634,0.04595,0.92152
1784806990151.66,0.04404,0.92149
1784806990189.627,0.04284,0.92151
1784806990251.6858,0.04217,0.92155
1784806990290.575,0.04279,0.92045
1784806990351.9832,0.04523,0.91237
1784806990390.551,0.04641,0.89194
1784806990451.5012,0.04736,0.86922
1784806990490.197,0.05019,0.84539
1784806990550.7322,0.05183,0.81515
1784806990589.8271,0.05364,0.78315
1784806990650.623,0.05478,0.75472
1784806990690.778,0.05535,0.72852
1784806990751.0112,0.05504,0.70299
1784806990789.487,0.05461,0.67698
1784806990851.383,0.05464,0.65034
1784806990910.344,0.05488,0.62282
1784806990951.204,0.05487,0.59485
1784806991009.711,0.05471,0.56625
1784806991050.19,0.05422,0.53742
1784806991110.3518,0.05413,0.50858
1784806991149.605,0.05437,0.47885
1784806991210.8591,0.05428,0.44849
1784806991249.999,0.05384,0.41776
1784806991310.814,0.05311,0.38673
1784806991350.6602,0.05269,0.35531
1784806991410.1328,0.05261,0.32374
1784806991470.884,0.05265,0.29187
1784806991510.059,0.05252,0.25987
1784806991569.906,0.05269,0.20101
1784806991610.109,0.05269,0.20101
1784806991670.798,0.05305,0.16026
1784806991710.324,0.05305,0.16026
1784806991771.7659,0.053,0.11943
1784806991810.6921,0.053,0.11943
1784806991870.725,0.05231,0.10078
1784806991910.09,0.05123,0.0765
1784806991970.143,0.05136,0.06508
1784806992029.8418,0.05172,0.05212
1784806992070.2332,0.05102,0.04106
1784806992129.822,0.0499,0.03503
1784806992169.696,0.04917,0.03146
1784806992229.6902,0.04833,0.02931
1784806992269.6772,0.04721,0.02872
1784806992330.5159,0.04621,0.02869
1784806992370.953,0.04524,0.02919
1784806992430.36,0.04446,0.02933
1784806992469.7869,0.044,0.02947
1784806992530.4219,0.04405,0.02963
