Time,X,Y
1784807643381.994,0.0,0.0
1784807643435.8442,1e-05,3e-05
1784807643495.986,0.0,0.0
1784807643535.261,-2e-05,-4e-05
1784807643595.81,-2e-05,-3e-05
1784807643636.052,0.0,-2e-05
1784807643694.741,3e-05,-3e-05
1784807643734.7898,3e-05,-3e-05
1784807643794.4263,2e-05,-4e-05
1784807643834.955,3e-05,-4e-05
1784807643895.566,2e-05,-3e-05
1784807643955.395,2e-05,-3e-05
1784807643995.301,2e-05,-4e-05
1784807644055.187,3e-05,-4e-05
1784807644095.5432,3e-05,-6e-05
1784807644155.5068,2e-05,-4e-05
1784807644195.272,1e-05,-3e-05
1784807644255.757,1e-05,-4e-05
1784807644295.406,1e-05,-7e-05
1784807644354.9702,1e-05,-5e-05
1784807644395.529,2e-05,-2e-05
1784807644455.4902,1e-05,-3e-05
1784807644494.997,1e-05,-3e-05
1784807644555.137,0.0,-3e-05
1784807644595.4531,1e-05,-5e-05
1784807644654.7048,-0.0,-6e-05
1784807644694.577,-1e-05,-7e-05
1784807644754.529,0.0,-6e-05
1784807644794.3318,1e-05,-5e-05
1784807644854.593,1e-05,-2e-05
1784807644915.843,0.0,-2e-05
1784807644955.294,0.0006,1e-05
1784807645015.388,0.00641,0.00022
1784807645055.496,0.02385,0.00303
1784807645114.5999,0.05091,0.00525
1784807645155.779,0.08238,0.00665
1784807645215.4949,0.11565,0.0081
1784807645255.6648,0.14902,0.01041
1784807645315.6108,0.1802,0.01268
1784807645355.179,0.20749,0.01354
1784807645414.8538,0.23118,0.01458
1784807645476.3079,0.25228,0.01495
1784807645516.767,0.2727,0.01514
1784807645576.243,0.29424,0.01519
1784807645616.676,0.31852,0.01543
1784807645676.464,0.34484,0.01537
1784807645714.986,0.37261,0.01492
1784807645776.248,0.4002,0.01493
1784807645816.73,0.42656,0.01558
1784807645876.446,0.45156,0.01635
1784807645937.2559,0.47543,0.01704
1784807645975.8489,0.49858,0.01762
1784807646036.511,0.52186,0.01831
1784807646076.302,0.54569,0.01874
1784807646137.229,0.5704,0.01869
1784807646175.56,0.59601,0.01801
1784807646236.705,0.62216,0.0172
1784807646276.552,0.64838,0.01713
1784807646336.493,0.67393,0.01734
1784807646396.647,0.69778,0.01753
1784807646436.231,0.71873,0.01779
1784807646476.6082,0.73702,0.018
1784807646536.559,0.75202,0.01762
1784807646576.616,0.76427,0.0172
1784807646636.575,0.77458,0.0162
1784807646696.2021,0.78367,0.01565
1784807646737.029,0.79292,0.0143
1784807646796.5132,0.80295,0.01319
1784807646837.586,0.81363,0.01168
1784807646896.534,0.82398,0.01073
1784807646936.861,0.83359,0.01085
1784807646996.169,0.84202,0.0112
1784807647036.591,0.84856,0.01087
1784807647096.112,0.85248,0.01072
1784807647135.9858,0.85528,0.01062
1784807647196.3552,0.85959,0.0099
1784807647236.351,0.86299,0.00897
1784807647296.332,0.86699,0.00754
1784807647336.3699,0.86699,0.00754
1784807647396.823,0.87547,0.00512
1784807647456.663,0.87768,0.00543
1784807647496.7207,0.87825,0.00545
1784807647556.723,0.87822,0.00538
1784807647596.766,0.87779,0.00538
1784807647657.079,0.87723,0.00539
1784807647696.248,0.87669,0.0053
1784807647756.2292,0.87607,0.00543
1784807647797.052,0.87659,0.00618
1784807647856.222,0.88051,0.0116
1784807647916.342,0.88586,0.02849
1784807647957.111,0.88841,0.0557
1784807648017.027,0.88912,0.08507
1784807648057.0571,0.88777,0.11442
1784807648116.7988,0.88554,0.14363
1784807648177.2139,0.88368,0.17244
1784807648216.9458,0.8825,0.2011
1784807648276.859,0.88229,0.2289
1784807648317.0503,0.88286,0.25511
1784807648376.5251,0.88402,0.28006
1784807648416.664,0.88538,0.30399
1784807648476.4421,0.88652,0.32763
1784807648516.305,0.88696,0.35109
1784807648576.2197,0.88668,0.37503
1784807648616.313,0.88594,0.39999
1784807648676.44,0.88471,0.42506
1784807648718.097,0.88364,0.45045
1784807648776.793,0.88286,0.47616
1784807648816.397,0.88262,0.5014
1784807648877.2932,0.88346,0.52674
1784807648936.7402,0.88499,0.55168
1784807648977.108,0.8864,0.57627
1784807649036.192,0.88724,0.60069
1784807649076.55,0.88714,0.62529
1784807649136.291,0.88663,0.65036
1784807649177.912,0.88567,0.67514
1784807649236.9521,0.88444,0.69927
1784807649276.103,0.8838,0.72106
1784807649336.473,0.88384,0.74005
1784807649376.374,0.88476,0.75564
1784807649435.7068,0.88612,0.76806
1784807649476.265,0.88752,0.77797
1784807649536.8818,0.88927,0.78658
1784807649575.917,0.88993,0.79505
1784807649636.796,0.88983,0.80362
1784807649675.68,0.88978,0.81193
1784807649735.278,0.88911,0.82026
1784807649775.563,0.88911,0.8286
1784807649835.8071,0.88947,0.83599
1784807649875.896,0.89009,0.84297
1784807649936.022,0.8911,0.84871
1784807649996.981,0.89242,0.85303
1784807650056.7778,0.89366,0.85665
1784807650095.442,0.89496,0.8602
1784807650135.233,0.8955,0.86343
1784807650196.906,0.89424,0.87061
1784807650237.349,0.89309,0.87398
1784807650297.374,0.89253,0.87554
1784807650337.2559,0.89234,0.87503
1784807650397.4622,0.89199,0.87459
1784807650458.178,0.89145,0.87446
1784807650497.611,0.89103,0.8744
1784807650557.549,0.89077,0.87439
1784807650597.8481,0.8906,0.87431
1784807650657.5771,0.89052,0.87422
1784807650698.5012,0.88988,0.87447
1784807650757.255,0.88359,0.87701
1784807650798.036,0.86588,0.8823
1784807650857.028,0.83898,0.88415
1784807650896.9631,0.80831,0.88415
1784807650957.241,0.77582,0.88287
1784807650996.9202,0.74286,0.88191
1784807651057.1848,0.71131,0.88132
1784807651117.2979,0.68262,0.88113
1784807651157.011,0.65776,0.88175
1784807651217.182,0.63578,0.88273
1784807651257.538,0.61528,0.8838
1784807651317.0,0.59435,0.88452
1784807651357.1357,0.57157,0.8851
1784807651417.0361,0.5461,0.8852
1784807651457.218,0.51896,0.88541
1784807651517.615,0.49133,0.88506
1784807651557.25,0.46444,0.88525
1784807651617.7761,0.43877,0.88543
1784807651657.218,0.41451,0.88593
1784807651717.34,0.39098,0.88649
1784807651757.345,0.36778,0.88703
1784807651817.014,0.34406,0.88762
1784807651860.089,0.31944,0.88796
1784807651918.83,0.29357,0.88772
1784807651960.723,0.26738,0.88721
1784807652017.3708,0.24096,0.88673
1784807652057.368,0.21551,0.88615
1784807652117.349,0.1931,0.88638
1784807652157.4343,0.17532,0.88719
1784807652217.692,0.16195,0.88848
1784807652259.199,0.15115,0.88933
1784807652317.495,0.14209,0.89033
1784807652377.805,0.13317,0.89077
1784807652417.551,0.1229,0.89132
1784807652477.607,0.11072,0.8916
1784807652517.501,0.09684,0.892
1784807652577.058,0.08337,0.89219
1784807652616.9282,0.07119,0.89252
1784807652676.456,0.06212,0.89252
1784807652737.041,0.05656,0.89249
1784807652777.7212,0.05462,0.89263
1784807652837.7139,0.05489,0.89263
1784807652877.771,0.05454,0.8927
1784807652937.805,0.05221,0.89284
1784807652977.556,0.04663,0.89271
1784807653037.8152,0.03864,0.89307
1784807653076.967,0.03013,0.89426
1784807653138.0352,0.0228,0.89523
1784807653177.213,0.01803,0.89542
1784807653237.63,0.01619,0.89494
1784807653277.245,0.01575,0.89501
1784807653337.6692,0.0159,0.89491
1784807653377.4238,0.01624,0.89488
1784807653437.8713,0.01671,0.89475
1784807653477.543,0.01724,0.89466
1784807653537.276,0.01757,0.89464
1784807653576.035,0.01758,0.89423
1784807653637.7148,0.01462,0.89112
1784807653678.0742,0.00772,0.87957
1784807653738.005,0.00444,0.85548
1784807653777.823,0.00492,0.82622
1784807653837.3298,0.00529,0.79707
1784807653877.368,0.006,0.76829
1784807653937.963,0.00756,0.74013
1784807653977.225,0.00908,0.71213
1784807654037.712,0.01084,0.68467
1784807654077.576,0.01317,0.65775
1784807654137.2349,0.01468,0.63178
1784807654177.726,0.01567,0.60676
1784807654236.84,0.01603,0.58258
1784807654277.557,0.01512,0.55917
1784807654338.1528,0.01329,0.53519
1784807654377.549,0.01121,0.51082
1784807654437.7698,0.00956,0.48582
1784807654477.609,0.00887,0.46043
1784807654537.56,0.00928,0.43511
1784807654597.357,0.01208,0.38459
1784807654656.812,0.01338,0.35963
1784807654697.261,0.01391,0.33493
1784807654756.7097,0.01337,0.31016
1784807654796.985,0.01202,0.28506
1784807654856.878,0.01033,0.25993
1784807654896.996,0.00898,0.23474
1784807654957.3179,0.00806,0.21052
1784807654997.288,0.00822,0.18794
1784807655058.447,0.0091,0.16836
1784807655117.4788,0.01047,0.15262
1784807655157.284,0.01122,0.14153
1784807655196.9832,0.01121,0.13281
1784807655257.243,0.01048,0.1244
1784807655317.836,0.00888,0.1156
1784807655357.349,0.00722,0.10654
1784807655417.5562,0.00546,0.0965
1784807655457.839,0.00451,0.08537
1784807655517.193,0.0045,0.07471
1784807655557.3608,0.00458,0.06547
1784807655616.922,0.00495,0.05846
1784807655657.433,0.00524,0.05386
1784807655717.481,0.00571,0.0513
1784807655777.554,0.00558,0.0486
1784807655817.4773,0.00457,0.0459
1784807655877.737,0.00297,0.04265
1784807655917.6719,0.00138,0.03796
1784807655977.5647,0.00055,0.03271
1784807656018.199,0.00018,0.02833
1784807656077.966,0.0006,0.02576
1784807656117.781,0.00069,0.02555
1784807656178.035,0.0003,0.02606
1784807656216.9822,-8e-05,0.02639
1784807656277.472,-0.00045,0.02655
1784807656316.967,-0.00089,0.02632
1784807656377.156,-0.00121,0.02619
1784807656418.866,-0.00113,0.02601
1784807656476.867,0.00021,0.02606
1784807656518.6902,0.00819,0.02615
1784807656577.14,0.02846,0.0272
1784807656617.258,0.05721,0.02817
1784807656677.2249,0.08831,0.02842
1784807656716.8682,0.12118,0.02868
1784807656777.694,0.15404,0.02934
1784807656837.4348,0.21182,0.031
1784807656897.469,0.235,0.03131
1784807656936.466,0.2556,0.03152
1784807656997.85,0.27567,0.03173
1784807657037.6,0.29688,0.03211
1784807657097.638,0.32061,0.03281
1784807657157.7192,0.34697,0.03341
1784807657197.357,0.37465,0.0335
1784807657257.8052,0.40243,0.03356
1784807657297.481,0.4292,0.03354
1784807657359.07,0.45449,0.03365
1784807657396.659,0.47833,0.03378
1784807657456.8992,0.50139,0.034
1784807657496.4211,0.52473,0.03419
1784807657557.5208,0.54904,0.03446
1784807657619.628,0.57436,0.03481
1784807657656.742,0.60029,0.03496
1784807657717.557,0.62672,0.03497
1784807657757.196,0.65285,0.03494
1784807657817.186,0.67806,0.03457
1784807657858.0461,0.70177,0.03409
1784807657917.76,0.72307,0.0336
1784807657957.6663,0.74103,0.03268
1784807658018.2432,0.75448,0.0316
1784807658057.5203,0.76377,0.03102
1784807658117.449,0.77107,0.03122
1784807658156.907,0.7777,0.03125
1784807658217.751,0.78593,0.03118
1784807658257.448,0.79605,0.03107
1784807658316.864,0.80802,0.03125
1784807658376.2668,0.82058,0.03119
1784807658417.6362,0.83257,0.03132
1784807658476.2603,0.84213,0.03097
1784807658517.963,0.84808,0.03051
1784807658577.096,0.85106,0.02984
1784807658637.095,0.85167,0.02934
1784807658677.965,0.85128,0.0292
1784807658757.845,0.85186,0.02884
1784807658777.466,0.85502,0.0283
1784807658853.821,0.86074,0.02821
1784807658877.446,0.86792,0.02814
1784807658998.166,0.87525,0.02796
1784807658999.094,0.88134,0.02796
1784807659037.931,0.88515,0.02805
1784807659096.582,0.88688,0.02808
1784807659137.914,0.88761,0.02788
1784807659197.7952,0.88797,0.02773
1784807659238.436,0.88777,0.02765
1784807659317.3818,0.8872,0.02765
1784807659337.951,0.88659,0.02762
1784807659397.914,0.88558,0.02791
1784807659457.554,0.88833,0.03106
1784807659497.081,0.89415,0.04247
1784807659558.2021,0.89816,0.06575
1784807659596.6877,0.89857,0.09464
1784807659656.564,0.89848,0.12441
1784807659696.4539,0.89756,0.15279
1784807659756.562,0.89714,0.1809
1784807659795.5388,0.89706,0.20889
1784807659858.614,0.89738,0.23698
1784807659897.148,0.89804,0.26438
1784807660035.46,0.89889,0.29087
1784807660036.154,0.89965,0.31585
1784807660056.8052,0.90026,0.33986
1784807660098.058,0.90011,0.36346
1784807660157.701,0.89968,0.38735
1784807660218.096,0.89892,0.41166
1784807660258.0093,0.898,0.43657
1784807660318.2988,0.8975,0.46204
1784807660356.5068,0.89705,0.48718
1784807660417.834,0.89693,0.51234
1784807660457.458,0.89706,0.5375
1784807660518.003,0.89764,0.56244
1784807660558.762,0.89769,0.58693
1784807660617.996,0.89755,0.61139
1784807660656.9128,0.89728,0.63589
1784807660716.495,0.89707,0.66081
1784807660756.947,0.89689,0.68631
1784807660817.355,0.89667,0.71112
1784807660857.4011,0.89632,0.73468
1784807660917.697,0.896,0.75557
1784807660978.0537,0.896,0.77331
1784807661097.575,0.89625,0.78615
1784807661098.4167,0.89668,0.79439
1784807661117.243,0.89735,0.80195
1784807661178.9902,0.89738,0.81144
1784807661217.9683,0.89784,0.82476
1784807661298.2422,0.89779,0.83993
1784807661337.5093,0.89777,0.85404
