Time,acc_x,acc_y,acc_z
1784516383806.767,0.0,0.0,0.0
1784516383907.236,-0.00669,0.01195,-0.99897
1784516384007.5112,-0.00775,0.01256,-0.99822
1784516384107.1282,-0.00534,0.01081,-0.99977
1784516384206.675,-0.00613,0.01139,-1.00029
1784516384306.766,-0.00587,0.01281,-0.99857
1784516384406.864,-0.0061,0.0128,-0.99831
1784516384507.066,-0.00446,0.01215,-0.99655
1784516384605.644,-0.00812,0.01093,-0.99769
1784516384707.383,-0.00407,0.01161,-0.99867
1784516384807.561,-0.00575,0.0112,-0.99696
1784516384907.371,-0.00614,0.01216,-0.99805
1784516385007.335,-0.00519,0.01168,-0.99849
1784516385107.3542,-0.00672,0.01174,-0.99813
1784516385212.0142,-0.00616,0.01083,-0.99931
1784516385306.907,-0.00534,0.0106,-0.99863
1784516385406.985,-0.00576,0.01244,-0.99583
1784516385506.989,-0.0071,0.01218,-0.99754
1784516385607.363,-0.00745,0.01164,-0.99911
1784516385707.613,-0.00431,0.01132,-0.99837
1784516385808.558,-0.00825,0.01133,-0.99906
1784516385927.595,-0.00514,0.01135,-0.99795
1784516386027.6348,-0.00751,0.0121,-0.99868
1784516386127.48,-0.00609,0.01076,-0.99692
1784516386227.1099,-0.00649,0.01143,-0.99792
1784516386326.7998,-0.00771,0.01106,-0.99674
1784516386426.812,-0.00423,0.01165,-1.00027
1784516386547.5159,-0.0066,0.01145,-0.99756
1784516386647.046,-0.00552,0.01036,-1.0002
1784516386747.373,-0.0059,0.01166,-0.99744
1784516386847.411,-0.00607,0.01086,-0.99753
1784516386947.452,-0.00604,0.01208,-0.99779
1784516387046.8691,-0.00706,0.01155,-0.9994
1784516387146.668,-0.0043,0.01163,-0.99753
1784516387246.99,-0.00886,0.01105,-0.99838
1784516387347.544,-0.00364,0.0119,-0.99885
1784516387447.135,-0.00715,0.01037,-0.99805
1784516387547.3708,-0.0059,0.0112,-0.99945
1784516387667.304,-0.00614,0.0102,-0.99762
1784516387747.426,-0.00633,0.01151,-0.99603
1784516387867.256,-0.00599,0.01139,-0.99714
1784516387967.1191,-0.00794,0.01046,-0.99727
1784516388067.529,-0.00547,0.0095,-0.99805
1784516388166.921,-0.008,0.01118,-0.99927
1784516388266.977,-0.00529,0.01155,-0.99764
