Time,Distance(mm.)
1784516383826.616,0
1784516383926.677,0
1784516384027.199,0
1784516384127.085,0
1784516384226.5898,0
1784516384326.6868,0
1784516384426.824,0
1784516384526.804,0
1784516384628.221,0
1784516384727.0242,0
1784516384827.1602,0
1784516384926.988,0
1784516385027.165,0
1784516385127.1858,0
1784516385227.0579,0
1784516385327.0242,0
1784516385427.5032,0
1784516385526.8591,0
1784516385627.0818,0
1784516385727.0798,0
1784516385827.3,0
1784516385928.985,0
1784516386029.182,0
1784516386146.938,0
1784516386247.003,0
1784516386346.638,0
1784516386446.7258,0
1784516386548.9658,0
1784516386647.938,0
1784516386748.3762,0
1784516386867.237,0
1784516386966.933,0
1784516387066.577,0
1784516387166.454,0
1784516387266.7598,0
1784516387366.7,0
1784516387466.8381,0
1784516387566.88,0
1784516387668.8298,0
1784516387766.883,0
1784516387868.1018,0
1784516387968.3171,0
1784516388089.022,0
1784516388186.571,0
1784516388286.7808,0
1784516388387.0662,0
1784516388487.364,0
1784516388588.351,0
1784516388689.0527,0
1784516388788.4722,0
1784516388888.4292,0
1784516389007.691,0
1784516389109.215,0
1784516389206.556,0
1784516389307.99,0
1784516389410.534,0
1784516389526.7861,0
1784516389626.948,0
1784516389727.325,0
1784516389827.0552,0
1784516389927.2551,0
1784516390026.916,0
1784516390126.7368,0
1784516390226.99,0
1784516390329.8838,0
1784516390446.655,0
1784516390546.716,0
1784516390646.836,0
1784516390747.1611,0
1784516390848.3672,0
1784516390947.205,0
1784516391046.809,0
1784516391146.657,0
1784516391246.6829,0
1784516391366.7441,0
1784516391467.4111,0
1784516391567.083,0
1784516391666.843,0
1784516391766.697,0
1784516391868.194,0
1784516391969.106,0
1784516392069.128,0
1784516392167.504,0
1784516392267.166,0
1784516392386.806,0
1784516392486.892,0
1784516392586.802,0
1784516392686.756,0
1784516392787.6182,0
1784516392887.228,0
1784516392988.194,0
1784516393088.2659,0
1784516393207.684,0
1784516393307.748,0
1784516393409.84,0
1784516393507.8389,0
1784516393607.548,0
1784516393707.725,0
1784516393807.7068,0
1784516393907.815,0
1784516394008.058,0
1784516394108.601,0
1784516394207.6511,0
1784516394307.7078,0
1784516394408.2998,0
1784516394508.2651,0
1784516394608.112,0
1784516394709.148,0
1784516394827.752,0
1784516394927.864,0
1784516395028.0261,0
1784516395127.683,0
1784516395227.5012,0
1784516395327.538,0
1784516395427.5078,0
1784516395527.9932,0
1784516395628.0261,0
1784516395727.571,0
1784516395827.616,0
1784516395928.736,0
1784516396030.4893,0
1784516396128.66,0
1784516396228.3,0
1784516396328.6309,0
1784516396429.9587,0
1784516396530.5469,0
1784516396647.685,0
1784516396748.3398,0
1784516396847.734,0
1784516396948.1558,0
1784516397048.1511,0
1784516397149.85,0
1784516397247.857,0
1784516397348.387,0
1784516397448.566,0
1784516397547.8333,0
1784516397647.779,0
1784516397748.034,0
1784516397849.454,0
1784516397947.9429,0
1784516398047.6,0
1784516398147.501,0
1784516398247.571,0
1784516398347.777,0
1784516398447.7341,0
1784516398547.8179,0
1784516398647.6228,0
1784516398747.655,0
1784516398847.6912,0
1784516398947.777,0
1784516399047.9958,0
1784516399167.6062,0
1784516399267.5422,0
1784516399367.531,0
1784516399467.689,0
1784516399567.8457,0
1784516399669.066,0
1784516399767.836,0
1784516399867.585,0
