Time,gyro_x,gyro_y,gyro_z
1784516383806.767,0.0,0.0,0.0
1784516383907.236,-0.00077,0.01002,0.00775
1784516384007.5112,-0.00109,0.00973,0.008
1784516384107.1282,-0.00179,0.00579,0.01102
1784516384206.675,-0.00047,0.00847,0.00755
1784516384306.766,-0.00154,0.00715,0.00551
1784516384406.864,-0.00154,0.00889,0.01003
1784516384507.066,-0.00144,0.00781,0.0071
1784516384605.644,-0.00015,0.00781,0.00694
1784516384707.383,-0.00048,0.00845,0.00876
1784516384807.561,-0.00117,0.0063,0.00726
1784516384907.371,-0.00194,0.00996,0.00776
1784516385007.335,-0.00356,0.01049,0.00675
1784516385107.3542,-0.00237,0.00787,0.00817
1784516385212.0142,-0.00191,0.00567,0.00988
1784516385306.907,-0.00091,0.00979,0.00729
1784516385406.985,-0.00517,0.00631,0.00761
1784516385506.989,-0.00223,0.00804,0.00635
1784516385607.363,-0.00347,0.00841,0.00694
1784516385707.613,-0.00222,0.0073,0.00667
1784516385808.558,-0.00254,0.00731,0.00772
1784516385927.595,-0.00081,0.00673,0.00913
1784516386027.6348,-0.00246,0.00867,0.00693
1784516386127.48,-0.00063,0.0093,0.00737
1784516386227.1099,-0.00065,0.00691,0.0068
1784516386326.7998,-0.00183,0.00906,0.00654
1784516386426.812,-0.00191,0.00813,0.00693
1784516386547.5159,-0.00024,0.00663,0.0071
1784516386647.046,-0.00152,0.01142,0.00728
1784516386747.373,-0.00227,0.00609,0.00996
1784516386847.411,-0.00195,0.00451,0.00567
1784516386947.452,-0.00222,0.00728,0.00486
1784516387046.8691,-0.00162,0.0088,0.0087
1784516387146.668,-0.00345,0.00684,0.00897
1784516387246.99,-0.00043,0.00862,0.00817
1784516387347.544,-0.00291,0.00526,0.00372
1784516387447.135,-0.00056,0.00477,0.00754
1784516387547.3708,-0.00344,0.00635,0.00654
1784516387667.304,-0.0028,0.00814,0.00773
1784516387747.426,-0.00187,0.00971,0.00747
1784516387867.256,-0.00293,0.00825,0.00823
1784516387967.1191,-0.0014,0.00916,0.00865
1784516388067.529,-0.0022,0.00663,0.00702
1784516388166.921,-0.00244,0.00819,0.00657
1784516388266.977,-0.00247,0.00764,0.00784
1784516388369.868,-0.00408,0.00902,0.00544
1784516388467.319,-0.00368,0.00861,0.00735
1784516388587.3953,-0.00267,0.00992,0.00549
1784516388687.4958,-0.00073,0.00786,0.00593
1784516388787.143,-0.00077,0.00846,0.00801
1784516388887.913,-0.00121,0.00933,0.00875
1784516388987.202,-0.00236,0.0068,0.00588
1784516389087.486,-0.00216,0.00854,0.00739
1784516389186.635,-0.00438,0.00562,0.00381
1784516389286.898,-0.00393,0.00787,0.00822
1784516389408.946,0.00132,0.00788,0.00494
1784516389508.358,-0.00181,0.00583,0.00865
1784516389608.235,-0.00086,0.0066,0.00855
1784516389707.5042,-0.00176,0.00849,0.00678
1784516389807.938,-0.00516,0.00514,0.00712
1784516389907.491,-0.00161,0.00914,0.0069
1784516390007.4539,-0.00189,0.00873,0.00716
1784516390120.655,-0.0013,0.00812,0.00697
1784516390226.64,-0.00195,0.0085,0.00767
1784516390327.435,-0.00146,0.00723,0.0068
1784516390426.741,0.00018,0.00538,0.00734
1784516390526.72,-0.00098,0.00753,0.00442
1784516390627.214,0.00033,0.00793,0.00539
1784516390727.7498,-0.0006,0.00857,0.00799
1784516390827.8442,-0.00193,0.00542,0.00603
1784516390927.647,-0.004,0.00863,0.00723
1784516391027.018,-0.004,0.0087,0.0078
1784516391126.913,-0.00245,0.00874,0.00681
1784516391226.743,-0.00066,0.00887,0.00719
1784516391347.307,-0.0018,0.00735,0.00775
1784516391447.4722,-0.00191,0.00789,0.00775
1784516391547.323,-0.00081,0.00831,0.00765
1784516391646.9053,-0.00115,0.00684,0.00646
1784516391746.728,-0.00317,0.00762,0.00578
1784516391866.988,-0.00062,0.00695,0.00576
1784516391967.5168,0.00071,0.008,0.00467
1784516392067.5452,-0.00393,0.0057,0.00589
1784516392166.844,-0.00274,0.00626,0.0058
1784516392266.738,0.00053,0.00709,0.00806
1784516392366.9683,-0.00268,0.00791,0.00607
1784516392467.204,-0.00191,0.00586,0.00664
1784516392566.8708,-0.00353,0.00679,0.00874
1784516392666.898,-0.00139,0.00627,0.0077
1784516392786.8591,-0.00142,0.00803,0.00354
1784516392886.524,-0.002,0.00971,0.00514
1784516392987.724,-0.00127,0.00837,0.00605
1784516393087.862,-0.00489,0.01006,0.00487
1784516393187.64,-0.00098,0.00543,0.00632
1784516393287.843,0.00093,0.00843,0.00983
1784516393387.432,-0.00365,0.00791,0.00649
1784516393487.883,-0.00181,0.00834,0.00722
1784516393587.533,-0.00039,0.0067,0.0077
1784516393687.732,-0.0005,0.00804,0.00772
1784516393787.7878,-0.00039,0.00781,0.00724
1784516393887.807,-0.00188,0.00677,0.00616
1784516393988.4968,-0.00148,0.00803,0.00618
1784516394089.138,0.00108,0.0074,0.00776
1784516394187.666,-0.00196,0.00711,0.01033
1784516394287.7148,-0.00159,0.00779,0.00648
1784516394407.82,-0.00249,0.00674,0.00708
1784516394507.756,-0.00083,0.00686,0.00851
1784516394607.631,0.00117,0.00827,0.00733
1784516394708.4028,-0.00415,0.0063,0.00766
1784516394807.7812,-0.00231,0.00847,0.00834
1784516394907.727,-0.00069,0.00902,0.00575
1784516395007.8552,-0.00176,0.00792,0.00611
1784516395107.862,4e-05,0.00472,0.00684
1784516395207.636,-0.00202,0.0105,0.00533
1784516395307.583,-0.00137,0.00989,0.0077
1784516395407.923,-0.00173,0.00619,0.00649
1784516395508.547,-0.00156,0.0084,0.00613
1784516395607.9092,0.00051,0.00583,0.00842
1784516395707.597,-0.00318,0.00856,0.00552
1784516395807.74,-0.00169,0.00795,0.00767
1784516395928.072,-0.00138,0.00731,0.00798
1784516396028.5872,-0.001,0.00828,0.00704
1784516396127.906,-0.00101,0.00646,0.00627
1784516396227.711,-0.00305,0.0065,0.0091
1784516396327.9749,0.00162,0.00715,0.0081
1784516396428.585,-0.00178,0.00743,0.0071
1784516396528.81,-0.00036,0.00897,0.00588
1784516396629.9597,-0.00098,0.00871,0.00596
1784516396730.2651,-6e-05,0.00848,0.00531
1784516396830.038,-0.00061,0.0085,0.00557
1784516396933.967,-0.00116,0.00691,0.00704
1784516397034.494,-0.00035,0.00781,0.00624
1784516397129.5737,-0.00116,0.00742,0.00705
1784516397230.0771,-0.00111,0.00915,0.00678
1784516397329.8381,-0.00016,0.0074,0.00674
1784516397431.0232,-0.00101,0.00851,0.00766
1784516397530.3481,-0.0004,0.0097,0.0085
1784516397629.483,-0.00184,0.00647,0.00806
1784516397728.8801,0.0001,0.00687,0.00773
1784516397829.6,-0.00241,0.00787,0.00472
1784516397928.9182,0.00033,0.00683,0.00594
1784516398029.09,-0.00199,0.00828,0.00864
1784516398127.904,-0.00148,0.00706,0.00831
