timestamp,yaw,pitch,roll
1784445456601.419,4.0,7.08,3.21
1784445456768.778,4.0,7.08,3.21
1784445457049.002,4.0,7.08,3.21
1784445457186.144,4.0,7.08,3.21
1784445457348.833,4.0,7.08,3.21
1784445457569.477,3.97,7.18,3.22
1784445457769.857,4.01,7.05,3.22
1784445457970.251,3.92,7.04,3.18
1784445458169.803,3.92,7.04,3.21
1784445458371.011,4.01,7.07,3.19
1784445458571.603,4.02,7.11,3.18
1784445458771.877,3.96,7.07,3.2
1784445458996.3992,3.91,7.06,3.17
1784445459174.456,3.92,7.07,3.17
1784445459371.5168,4.03,7.02,3.21
1784445459571.234,3.99,6.98,3.23
1784445459771.2131,3.97,6.99,3.23
1784445460017.3599,3.96,7.01,3.23
1784445460225.171,3.94,6.95,3.32
1784445460413.998,4.02,6.94,3.27
1784445460610.949,4.01,6.89,3.27
1784445460810.735,4.02,6.82,3.3
1784445461021.566,4.04,6.79,3.3
1784445461250.9382,3.97,6.9,3.26
1784445461431.259,4.09,6.94,3.29
1784445461632.6357,4.02,6.93,3.31
1784445461830.6948,3.92,6.89,3.3
1784445462031.269,4.02,6.87,3.21
1784445462291.2798,4.02,6.91,3.22
1784445462465.507,4.0,6.95,3.2
1784445462651.015,3.99,6.93,3.16
1784445462850.634,3.98,6.89,3.19
1784445463051.498,4.0,6.9,3.15
1784445463369.182,4.04,6.92,3.14
1784445463478.94,3.9,6.9,3.16
1784445463672.4211,4.08,6.9,3.16
1784445463872.495,3.98,6.84,3.14
1784445464092.565,4.03,6.81,3.18
