timestamp,speed_m1,speed_m2,speed_m3,speed_m4
1784445456628.928,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
1784445456849.005,"[-1, -1, 1, 2]","[10658, 29514, 31395, 31798]","[1057932, 1057933, 1057929, 1057930]","[0, 0, 0, 0]"
1784445457049.746,"[-4, 2, -2, 4]","[10659, 29514, 31396, 31799]","[1058052, 1058053, 1058049, 1058050]","[0, 0, 0, 0]"
1784445457228.8862,"[0, 2, 6, -1]","[10657, 29515, 31396, 31798]","[1058172, 1058173, 1058169, 1058170]","[0, 0, 0, 0]"
1784445457430.303,"[-1, -2, -1, 3]","[10659, 29514, 31395, 31799]","[1058292, 1058293, 1058289, 1058290]","[0, 0, 0, 0]"
1784445457649.667,"[18, -24, -20, 28]","[11745, 28592, 30482, 98]","[1058412, 1058413, 1058409, 1058410]","[0, 0, 0, 0]"
1784445457828.98,"[16, -22, -12, 17]","[13007, 27236, 29140, 1351]","[1058532, 1058533, 1058529, 1058530]","[0, 0, 0, 0]"
1784445458110.495,"[7, -12, -6, 7]","[14774, 25721, 27528, 3078]","[1058652, 1058653, 1058649, 1058650]","[0, 0, 0, 0]"
1784445458250.824,"[14, -10, -2, 8]","[16681, 23787, 25531, 4938]","[1058772, 1058773, 1058769, 1058770]","[0, 0, 0, 0]"
1784445458451.3018,"[18, -18, -20, 14]","[18541, 21882, 23604, 6776]","[1058892, 1058893, 1058889, 1058890]","[0, 0, 0, 0]"
1784445458651.011,"[26, -17, -16, 20]","[20352, 20038, 21852, 8609]","[1059012, 1059013, 1059009, 1059010]","[0, 0, 0, 0]"
1784445458878.3638,"[16, -20, -25, 19]","[22248, 18240, 19973, 10495]","[1059132, 1059133, 1059129, 1059130]","[0, 0, 0, 0]"
1784445459150.898,"[18, -16, -28, 19]","[24251, 16321, 18035, 12571]","[1059252, 1059253, 1059249, 1059250]","[0, 0, 0, 0]"
1784445459251.147,"[15, -25, -13, 21]","[26247, 14432, 16021, 14368]","[1059372, 1059373, 1059369, 1059370]","[0, 0, 0, 0]"
1784445459472.188,"[7, -10, -22, 17]","[28227, 12471, 13947, 16338]","[1059492, 1059493, 1059489, 1059490]","[0, 0, 0, 0]"
1784445459670.877,"[11, -11, -14, 11]","[30358, 10292, 11812, 18456]","[1059612, 1059613, 1059609, 1059610]","[0, 0, 0, 0]"
1784445459852.0962,"[17, -20, -24, 15]","[32475, 8190, 9775, 20690]","[1059732, 1059733, 1059729, 1059730]","[0, 0, 0, 0]"
1784445460071.158,"[23, -25, -25, 27]","[1743, 6220, 7833, 22589]","[1059852, 1059853, 1059849, 1059850]","[0, 0, 0, 0]"
1784445460270.925,"[24, -20, -29, 24]","[3748, 4188, 5757, 24623]","[1059972, 1059973, 1059969, 1059970]","[0, 0, 0, 0]"
1784445460470.8638,"[12, -18, -18, 13]","[5944, 1952, 3501, 26968]","[1060092, 1060093, 1060089, 1060090]","[0, 0, 0, 0]"
1784445460690.6711,"[11, -8, -6, 7]","[7323, 703, 2189, 28276]","[1060212, 1060213, 1060209, 1060210]","[0, 0, 0, 0]"
1784445460911.367,"[3, -9, -6, 1]","[8033, 32677, 1410, 29089]","[1060332, 1060333, 1060329, 1060330]","[0, 0, 0, 0]"
1784445461092.335,"[-15, 9, 11, -18]","[7860, 91, 1547, 28912]","[1060452, 1060453, 1060449, 1060450]","[0, 0, 0, 0]"
1784445461290.8489,"[-3, 5, 12, -8]","[6546, 1273, 2896, 27696]","[1060572, 1060573, 1060569, 1060570]","[0, 0, 0, 0]"
1784445461492.9631,"[-11, 8, 12, -10]","[4959, 2749, 4394, 26228]","[1060692, 1060693, 1060689, 1060690]","[0, 0, 0, 0]"
