timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784445456603.921,0.0,0.0,0.0,0.0,0.0,0.0
1784445456788.78,-0.00515,0.01581,-1.00371,-0.00485,0.00909,0.00366
1784445457049.608,-0.00466,0.01521,-1.00276,-0.005,0.00401,0.00627
1784445457188.801,-0.00621,0.01355,-1.00345,-0.00679,0.00817,0.00773
1784445457429.5208,-0.0061,0.01397,-1.00455,-0.00424,0.00741,0.00418
1784445457608.855,-0.00554,0.01492,-1.00214,-0.00249,0.0075,0.00799
1784445457809.8738,0.03917,0.02518,-0.99701,-0.01221,-0.01038,-0.01103
1784445458109.925,0.1309,0.01136,-1.00774,-0.00909,0.00883,-0.00279
1784445458212.126,0.0109,3e-05,-1.00056,-0.00499,0.02535,0.00073
1784445458431.073,-0.09259,0.01219,-1.0015,-0.00676,0.00295,0.0026
1784445458611.2827,-0.06534,0.01424,-1.00224,-0.01551,0.00409,-0.00928
1784445458810.924,-0.01398,0.00976,-1.00513,0.01009,-0.01383,0.01044
1784445459012.8699,0.03287,0.01319,-1.00459,-0.00023,0.00066,-0.00219
1784445459231.32,0.03228,0.01197,-1.00546,-0.00281,0.0055,0.00858
1784445459411.7483,0.03988,0.00763,-1.0005,-0.00445,0.01175,0.01576
1784445459631.1592,0.01649,0.0101,-1.0013,-0.00229,0.01839,-0.01037
1784445459832.348,-0.07749,0.01323,-1.00443,-0.00646,0.01254,0.01167
1784445460051.2332,0.01326,0.02105,-0.9875,0.00741,0.00028,-0.00089
1784445460250.7688,0.07431,0.01368,-1.00491,-0.0113,0.0093,0.00625
1784445460450.808,-0.01991,0.01161,-1.00491,-0.00497,-0.01019,0.00589
1784445460673.8647,-0.01476,0.0051,-1.00343,-0.00507,-0.00263,0.00527
1784445460898.5012,-0.02696,0.01885,-1.0047,-0.00633,0.00761,0.00456
1784445461050.804,-0.15844,0.01489,-1.00136,-0.00545,0.01345,0.00176
1784445461252.5,-0.00684,0.01068,-0.99983,-0.009,0.00401,0.01343
1784445461471.148,0.0782,0.01611,-1.00285,0.00079,0.00984,-0.00462
1784445461688.158,0.03714,0.01444,-1.00114,0.00742,0.01843,0.00069
1784445461871.0881,-0.04801,0.00013,-1.004,-0.01246,0.00663,0.0273
1784445462070.8977,-0.09044,0.02082,-0.99969,0.00187,0.00974,0.00557
1784445462292.1338,-0.02656,0.03323,-1.00084,-0.00478,-0.00086,0.01116
1784445462492.88,0.07908,0.00586,-1.00297,-0.00434,-0.00518,-0.00946
1784445462712.0718,0.0743,0.00398,-1.01386,-0.00069,0.02282,0.04733
1784445462902.486,-0.03061,0.02443,-1.0017,-0.00774,0.0065,0.00256
1784445463091.1118,-0.10722,0.00169,-1.00488,-0.00536,0.00264,0.02696
1784445463372.999,-0.01934,-0.00036,-1.00671,0.001,-0.01019,0.01587
1784445463512.5981,0.06201,0.0044,-1.00316,-0.00345,0.00179,-0.03126
1784445463713.644,0.076,0.03964,-1.00632,0.00103,0.00562,0.02443
1784445463946.404,0.0042,0.03965,-1.00298,-0.0166,0.01402,0.02929
1784445464156.522,-0.05413,0.01672,-1.00343,0.00304,0.02103,-0.01326
