timestamp,position_x,position_y,position_z
1784445456603.573,0.0,0.0,0.0
1784445456769.196,1e-05,-2e-05,0.0
1784445457049.3481,2e-05,3e-05,0.0
1784445457188.62,2e-05,-1e-05,0.0
1784445457413.898,-1e-05,2e-05,0.0
1784445457588.8472,0.00119,0.00012,0.0
1784445457796.664,0.01939,0.00148,0.0
1784445457991.979,0.03606,0.00191,0.0
1784445458209.5671,0.05073,0.00295,0.0
1784445458391.363,0.0652,0.00425,0.0
1784445458591.3699,0.08202,0.00567,0.0
1784445458794.542,0.10111,0.00719,0.0
1784445459011.7769,0.11921,0.00838,0.0
1784445459192.031,0.13827,0.00962,0.0
1784445459391.511,0.15859,0.0106,0.0
1784445459611.357,0.17745,0.0113,0.0
1784445459831.1018,0.19456,0.01247,0.0
1784445460031.0269,0.21893,0.01432,0.0
1784445460233.549,0.23794,0.01632,0.0
1784445460448.2551,0.26011,0.01814,0.0
1784445460630.73,0.27336,0.01899,0.0
1784445460830.7112,0.2804,0.01985,0.0
1784445461030.888,0.28042,0.01999,0.0
1784445461252.1719,0.26609,0.01966,0.0
1784445461470.74,0.25275,0.01918,0.0
1784445461653.44,0.24079,0.01905,0.0
1784445461851.9438,0.2278,0.01807,0.0
1784445462051.928,0.20959,0.01839,0.0
1784445462291.805,0.19568,0.0189,0.0
1784445462470.788,0.17842,0.0188,0.0
1784445462693.9033,0.16036,0.01808,0.0
1784445462870.569,0.14439,0.01744,0.0
1784445463071.2588,0.12977,0.017,0.0
1784445463371.963,0.11228,0.01609,0.0
1784445463492.6199,0.09375,0.01283,0.0
1784445463712.5361,0.07462,0.00946,0.0
1784445463893.26,0.05725,0.00704,0.0
1784445464112.833,0.03431,0.00516,0.0
